Gender,Geographic Region,Loyalty Status,Television Region,Affluence Grade,Age,Loyalty Card Tenure,Organics Purchase Indicator
M,South East,Gold,S & S East,4,74,2,0
M,North,Silver,N East,10,49,1,0
M,South East,Gold,S & S East,7,46,12,0
M,Midlands,Silver,Midlands,9,64,12,0
M,South East,Silver,S & S East,10,49,5,1
M,South East,Tin,London,9,46,9,0
M,South East,Gold,S & S East,7,68,6,0
M,North,Silver,N East,8,73,1,1
M,North,Gold,Yorkshire,9,65,.,0
M,Midlands,Gold,Ulster,9,37,11,1
M,Midlands,Silver,Ulster,10,51,6,0
M,North,Tin,N West,7,37,5,0
M,Scottish,Tin,N Scot,7,42,5,0
M,South East,Silver,London,9,.,7,0
M,Scottish,Gold,C Scotland,8,54,8,0
M,North,Gold,Yorkshire,9,53,3,0
M,North,Tin,N West,3,33,5,0
M,North,Silver,Yorkshire,6,67,8,0
M,North,Gold,N West,9,.,6,0
M,Midlands,Gold,East,5,79,8,0
M,South East,Silver,London,9,.,3,0
M,South West,Silver,S West,12,35,5,0
M,North,Gold,N West,11,42,5,0
M,North,Silver,N West,14,50,4,0
M,North,Tin,N West,4,63,5,1
M,Midlands,Gold,East,6,.,2,0
M,South East,Silver,London,8,55,5,0
M,Scottish,Tin,C Scotland,8,52,4,0
M,South West,Silver,S West,6,63,2,1
M,North,Tin,N West,15,47,6,0
M,Midlands,Tin,Wales & West,8,38,5,0
M,South East,Tin,London,11,.,4,1
M,Midlands,Gold,East,9,55,2,0
M,Midlands,Gold,Midlands,7,49,3,0
M,North,Gold,N West,10,63,4,0
M,North,Tin,N West,20,39,8,1
M,South East,Silver,S & S East,13,.,5,1
M,Midlands,Gold,Midlands,7,51,11,1
M,North,Tin,N West,7,51,10,0
M,South East,Silver,London,22,50,6,1
M,South East,Silver,S & S East,.,78,8,0
M,Scottish,Tin,C Scotland,12,50,7,1
M,South East,Silver,S & S East,10,59,2,0
M,Scottish,Silver,C Scotland,9,66,9,0
M,North,Tin,Yorkshire,5,52,11,0
M,Midlands,Gold,Ulster,8,73,6,0
M,South East,Tin,London,9,55,11,0
M,Midlands,Silver,Midlands,8,61,6,0
M,South East,Silver,London,9,68,4,0
M,South East,Silver,London,10,40,13,0
M,Midlands,Tin,Midlands,10,57,4,0
M,North,Silver,Yorkshire,6,57,8,0
M,South East,Silver,London,10,73,27,0
M,South East,Silver,London,.,65,5,0
M,Midlands,Tin,Wales & West,5,50,4,0
M,South East,Tin,London,.,61,5,0
M,Midlands,Tin,Midlands,9,47,4,0
M,South West,Silver,S West,8,55,8,0
M,Scottish,Silver,C Scotland,11,47,11,0
M,South East,Tin,S & S East,8,49,20,0
M,South East,Silver,London,4,53,9,0
M,South East,Gold,London,8,69,8,0
M,South East,Silver,London,10,63,7,0
M,South East,Gold,London,8,45,2,0
M,North,Gold,Yorkshire,11,62,10,0
M,North,Gold,N West,13,64,8,0
M,Scottish,Gold,N Scot,6,62,4,0
M,South East,Gold,S & S East,5,77,16,0
M,Midlands,Tin,Wales & West,9,63,5,0
M,South East,Tin,London,6,57,4,0
M,Midlands,Silver,Wales & West,10,44,9,0
M,South East,Silver,London,7,57,5,0
M,Midlands,Gold,East,7,63,5,0
M,North,Silver,Yorkshire,8,.,8,0
M,North,Tin,N West,3,51,5,0
M,Midlands,Gold,Midlands,11,74,8,0
M,South West,Silver,S West,8,56,5,1
M,North,Gold,N West,7,72,5,0
M,Scottish,Silver,C Scotland,8,28,2,0
M,North,Tin,Yorkshire,10,50,5,0
M,South East,Tin,London,9,55,4,0
M,South East,Tin,London,8,32,7,1
M,Scottish,Gold,N Scot,11,44,3,1
M,Midlands,Gold,Midlands,6,69,12,0
M,South East,Silver,London,11,53,7,0
M,North,Silver,Yorkshire,6,67,4,0
M,Midlands,Silver,Ulster,.,36,1,0
M,North,Tin,Yorkshire,7,68,12,0
M,South East,Platinum,London,7,61,0,0
M,Scottish,Gold,C Scotland,10,64,11,0
M,South East,Tin,S & S East,8,55,8,0
M,South East,Platinum,S & S East,6,63,6,0
M,Midlands,Silver,Midlands,7,50,1,0
M,Scottish,Silver,N Scot,12,57,4,0
M,Scottish,Silver,Border,9,70,8,0
M,,Gold,,9,67,1,0
M,South East,Silver,London,15,52,5,1
M,South East,Silver,S & S East,9,50,9,0
M,North,Silver,N West,14,53,5,1
M,South West,Tin,S West,7,48,7,0
M,Midlands,Tin,Wales & West,7,40,4,0
M,Midlands,Silver,Midlands,5,57,4,0
M,South East,Tin,London,10,35,8,1
M,Midlands,Silver,Wales & West,7,54,11,0
M,North,Silver,N West,3,58,2,0
M,South East,Tin,London,10,49,8,0
M,Midlands,Tin,East,8,55,9,0
M,North,Tin,N West,7,40,4,0
M,Midlands,Platinum,East,14,70,3,0
M,Midlands,Platinum,Wales & West,12,70,24,1
M,Midlands,Gold,Midlands,6,63,13,0
M,Midlands,Tin,East,7,49,5,0
M,North,Silver,N East,7,73,4,1
M,South East,Gold,London,8,75,2,0
M,South East,Tin,S & S East,13,42,5,1
M,Midlands,Silver,Midlands,6,50,6,0
M,South East,Tin,S & S East,7,51,5,0
M,North,Gold,N West,11,67,2,0
M,South East,Tin,S & S East,10,37,7,0
M,Midlands,Silver,Midlands,5,52,1,0
M,South East,Gold,S & S East,9,.,8,1
M,South East,Tin,S & S East,2,40,5,0
M,South East,Silver,London,7,53,8,0
M,North,Silver,Yorkshire,13,43,11,0
M,South East,Silver,S & S East,16,60,2,0
M,Midlands,Tin,East,11,49,10,0
M,South East,Tin,S & S East,9,72,.,0
M,Midlands,Silver,Midlands,8,53,5,0
M,South East,Tin,S & S East,9,32,5,1
M,South East,Silver,London,9,.,1,0
M,Midlands,Tin,Wales & West,9,36,4,1
M,South East,Gold,London,7,51,2,0
M,South East,Gold,London,7,67,8,0
M,South East,Platinum,London,13,68,3,0
M,South West,Gold,S West,9,.,3,0
M,South East,Silver,London,7,29,8,1
M,Midlands,Silver,Midlands,6,61,4,0
M,North,Silver,Yorkshire,15,58,10,0
M,South East,Silver,London,11,63,1,0
M,North,Gold,N West,12,65,10,0
M,South East,Silver,London,.,61,9,0
M,Midlands,Tin,Wales & West,.,36,5,1
M,South East,Silver,London,5,36,8,0
M,Midlands,Gold,Midlands,8,46,2,0
M,South East,Silver,S & S East,4,79,1,0
M,South East,Silver,London,6,64,14,0
M,North,Tin,N West,7,47,8,0
M,Midlands,Gold,East,9,48,5,0
M,North,Gold,N West,7,63,.,0
M,North,Platinum,N West,14,.,3,0
M,South East,Gold,S & S East,6,48,4,0
M,South East,Silver,S & S East,8,69,24,0
M,South East,Silver,London,5,.,1,0
M,Midlands,Gold,Wales & West,8,72,4,1
M,South East,Gold,London,6,29,1,0
M,South East,Tin,S & S East,7,45,5,0
M,Midlands,Gold,Midlands,14,45,2,0
M,Midlands,Platinum,East,10,54,10,1
M,North,Platinum,Yorkshire,18,62,9,1
M,South East,Tin,London,11,58,8,0
M,Midlands,Platinum,Midlands,6,58,3,0
M,South West,Silver,S West,5,58,8,0
M,South East,Gold,London,17,57,8,0
M,South East,Gold,S & S East,8,75,2,1
M,South East,Silver,S & S East,6,74,12,0
M,Midlands,Silver,Wales & West,12,.,9,1
M,Midlands,Tin,Midlands,10,44,8,1
M,South East,Silver,London,10,46,9,0
M,Midlands,Silver,Wales & West,7,66,8,0
M,South West,Silver,S West,8,55,18,0
M,South East,Tin,London,8,53,4,0
M,Midlands,Tin,Ulster,8,.,4,0
M,South East,Silver,S & S East,7,65,8,0
M,North,Silver,N West,13,69,5,0
M,Midlands,Gold,Midlands,8,57,16,0
M,North,Tin,N West,8,51,4,0
M,Midlands,Silver,Midlands,7,62,11,0
M,Midlands,Tin,Midlands,.,49,5,0
M,South East,Platinum,S & S East,6,70,4,0
M,North,Gold,N West,11,48,1,0
M,South East,Silver,S & S East,20,22,2,1
M,South East,Gold,S & S East,12,63,13,0
M,North,Silver,Yorkshire,12,76,9,0
M,Midlands,Gold,Midlands,10,.,6,0
M,South East,Gold,London,10,63,4,0
M,North,Silver,Yorkshire,16,47,5,0
M,North,Tin,N West,7,53,4,0
M,Midlands,Platinum,East,7,69,4,0
M,North,Tin,N West,8,.,5,0
M,Midlands,Tin,East,18,48,7,1
M,,Gold,,11,54,1,0
M,South East,Tin,London,6,47,8,0
M,South East,Silver,London,9,61,4,0
M,Midlands,Silver,East,4,49,9,0
M,Midlands,Silver,Midlands,8,56,10,0
M,South East,Gold,S & S East,24,37,.,1
M,North,Tin,Yorkshire,8,48,7,0
M,South East,Tin,S & S East,12,74,7,1
M,Midlands,Silver,East,14,.,.,0
M,North,Silver,N West,5,23,5,0
M,South East,Silver,London,9,45,4,0
M,South East,Silver,London,14,57,9,1
M,South East,Silver,London,4,46,9,0
M,North,Silver,N West,12,65,8,0
M,Midlands,Silver,Midlands,20,48,9,1
M,South East,Silver,London,9,57,1,0
M,Midlands,Tin,Midlands,12,27,5,0
M,South East,Silver,London,7,67,9,0
M,South East,Silver,S & S East,6,.,7,0
M,North,Silver,Yorkshire,13,50,5,0
M,North,Tin,N East,8,48,5,0
M,Midlands,Gold,Midlands,8,44,6,0
M,,Gold,,12,64,1,0
M,North,Silver,N West,12,54,12,0
M,South West,Silver,S West,8,40,1,0
M,Midlands,Tin,Wales & West,5,51,8,0
M,Midlands,Gold,Midlands,7,41,10,0
M,Scottish,Gold,N Scot,11,70,11,1
M,North,Silver,Yorkshire,12,49,8,0
M,Scottish,Gold,C Scotland,9,57,2,0
M,South East,Gold,S & S East,13,55,1,1
M,Midlands,Platinum,East,9,76,4,0
M,Midlands,Tin,Wales & West,8,58,4,0
M,South East,Gold,London,6,.,4,0
M,Midlands,Gold,East,10,63,2,0
M,Midlands,Tin,East,7,51,8,0
M,South West,Gold,S West,16,60,12,0
M,South East,Gold,London,7,22,1,0
M,South East,Tin,S & S East,6,57,5,0
M,South East,Silver,London,7,49,11,0
M,North,Tin,N West,5,41,9,1
M,North,Silver,N West,13,48,4,0
M,North,Silver,N West,9,52,4,0
M,Midlands,Silver,Midlands,11,57,8,1
M,North,Gold,Yorkshire,6,53,5,0
M,Scottish,Silver,C Scotland,4,69,5,0
M,South East,Gold,S & S East,11,52,8,0
M,South East,Silver,S & S East,17,52,1,0
M,Midlands,Silver,Midlands,14,62,5,0
M,South East,Gold,London,8,60,13,0
M,Midlands,Tin,Midlands,5,62,5,0
M,Scottish,Gold,C Scotland,6,51,7,0
M,Scottish,Gold,C Scotland,9,50,1,0
M,Midlands,Tin,Midlands,9,48,8,0
M,Scottish,Silver,C Scotland,8,62,18,0
M,South East,Silver,S & S East,.,55,5,0
M,Midlands,Tin,Midlands,7,31,7,1
M,South East,Silver,London,7,38,7,0
M,Midlands,Silver,Ulster,10,52,9,0
M,Midlands,Tin,Midlands,3,41,5,0
M,North,Gold,N East,13,52,1,0
M,North,Silver,N East,5,67,28,0
M,South East,Gold,S & S East,6,51,7,0
M,Midlands,Silver,East,13,.,5,0
M,South East,Tin,London,5,62,7,0
M,North,Silver,Yorkshire,6,37,9,0
M,Scottish,Silver,C Scotland,10,47,5,0
M,Midlands,Silver,Midlands,1,45,8,0
M,North,Platinum,Yorkshire,5,68,3,0
M,South East,Tin,S & S East,9,49,4,0
M,South East,Silver,S & S East,6,.,5,0
M,South East,Tin,London,10,59,9,0
M,Midlands,Gold,Midlands,7,64,26,0
M,South East,Silver,London,.,59,7,0
M,North,Silver,N West,9,76,8,1
M,Scottish,Platinum,C Scotland,2,43,7,0
M,Midlands,Tin,East,6,49,5,0
M,Scottish,Platinum,C Scotland,11,66,15,0
M,South East,Silver,S & S East,8,64,9,0
M,Midlands,Silver,Midlands,10,53,1,0
M,Midlands,Silver,Midlands,10,76,6,1
M,North,Silver,Yorkshire,4,29,5,0
M,South East,Tin,London,11,41,5,0
M,South West,Silver,S West,10,71,4,0
M,South East,Gold,London,8,46,2,0
M,South East,Gold,London,21,33,9,1
M,South East,Platinum,London,12,70,29,0
M,South East,Silver,S & S East,.,76,25,0
M,South East,Gold,S & S East,10,43,5,1
M,North,Gold,N West,5,59,1,1
M,South West,Gold,S West,4,76,13,0
M,Midlands,Tin,Wales & West,8,52,9,0
M,South West,Silver,S West,10,55,5,0
M,North,Silver,N West,10,66,2,0
M,South East,Tin,London,6,76,7,1
M,South East,Tin,London,6,39,1,0
M,South West,Silver,S West,3,67,1,0
M,Midlands,Silver,Midlands,6,50,1,0
M,North,Silver,Yorkshire,9,53,3,0
M,South East,Tin,S & S East,11,50,5,1
M,Midlands,Tin,Wales & West,6,43,8,0
M,South East,Gold,S & S East,7,.,1,0
M,Midlands,Gold,Midlands,7,66,14,0
M,South East,Tin,London,7,45,7,0
M,South East,Silver,S & S East,6,50,8,0
M,South East,Tin,London,16,41,7,0
M,South East,Tin,London,7,47,5,0
M,South West,Silver,S West,6,.,12,0
M,Midlands,Gold,Ulster,10,69,4,0
M,Scottish,Tin,Border,4,50,8,0
M,South East,Gold,London,9,66,14,0
M,Midlands,Silver,Midlands,11,54,1,0
M,Midlands,Gold,Midlands,9,.,6,0
M,Midlands,Tin,Midlands,8,40,8,0
M,North,Tin,N West,11,48,5,0
M,North,Tin,N West,9,61,5,0
M,Midlands,Silver,Midlands,8,48,8,0
M,Midlands,Gold,Wales & West,2,47,2,0
M,South East,Tin,London,17,34,4,1
M,South East,Tin,London,7,61,.,0
M,South East,Silver,London,9,48,10,0
M,Midlands,Silver,Wales & West,9,55,2,0
M,Scottish,Gold,C Scotland,23,38,1,1
M,South East,Silver,S & S East,9,75,11,0
M,Scottish,Silver,C Scotland,10,66,9,0
M,Scottish,Silver,C Scotland,17,50,3,0
M,South East,Gold,London,6,55,5,0
M,Midlands,Silver,Wales & West,9,66,1,1
M,South East,Gold,London,10,47,2,0
M,South East,Silver,London,15,33,8,1
M,Midlands,Gold,Wales & West,7,58,4,0
M,South East,Gold,London,12,65,5,1
M,Midlands,Platinum,Midlands,12,62,3,0
M,North,Tin,N West,11,48,5,0
M,North,Tin,Yorkshire,7,47,5,0
M,Midlands,Tin,East,12,53,5,0
M,South East,Gold,London,8,57,3,0
M,North,Silver,N West,6,56,9,0
M,South West,Silver,S West,11,59,9,0
M,,Gold,,9,50,2,0
M,North,Silver,Yorkshire,7,.,9,0
M,South East,Tin,S & S East,5,51,10,0
M,Midlands,Gold,Midlands,5,68,31,0
M,South East,Tin,London,10,29,5,0
M,North,Silver,Yorkshire,5,72,11,0
M,South East,Gold,S & S East,10,71,9,0
M,Scottish,Platinum,Border,7,62,3,0
M,South East,Silver,London,12,33,4,1
M,Midlands,Tin,East,8,43,7,0
M,South East,Silver,London,7,62,12,0
M,South East,Silver,S & S East,12,60,7,0
M,North,Tin,N West,7,68,8,0
M,Midlands,Gold,East,9,51,4,0
M,Midlands,Silver,Midlands,12,35,1,0
M,North,Tin,N East,5,49,4,0
M,South East,Silver,London,10,47,8,0
M,Midlands,Tin,Midlands,7,39,5,0
M,Midlands,Tin,Wales & West,2,60,4,0
M,North,Silver,N West,.,37,5,0
M,North,Silver,Yorkshire,10,62,5,0
M,Midlands,Silver,Wales & West,8,39,4,1
M,Midlands,Tin,East,7,40,5,0
M,South West,Gold,S West,10,60,1,1
M,South East,Tin,London,4,75,8,0
M,,Silver,,.,59,5,0
M,Midlands,Silver,Midlands,6,57,5,0
M,Midlands,Tin,Midlands,8,60,8,0
M,South East,Gold,S & S East,9,60,1,0
M,North,Gold,Yorkshire,7,60,2,0
M,South East,Gold,London,6,66,4,0
M,South East,Tin,London,9,45,8,0
M,Midlands,Silver,Ulster,.,.,1,0
M,Midlands,Silver,East,12,70,12,0
M,South East,Tin,London,11,48,4,0
M,Midlands,Silver,Wales & West,10,50,9,0
M,North,Silver,Yorkshire,10,65,5,0
M,South East,Gold,London,7,71,2,0
M,South East,Gold,London,6,57,1,0
M,North,Platinum,Yorkshire,5,51,3,0
M,Midlands,Silver,East,8,48,10,0
M,North,Gold,N West,12,60,19,0
M,South East,Gold,London,5,31,1,0
M,North,Silver,Yorkshire,9,78,8,0
M,South West,Tin,S West,8,57,11,0
M,North,Tin,N West,7,52,5,0
M,South East,Tin,S & S East,5,51,5,0
M,Midlands,Gold,East,16,65,5,1
M,Midlands,Silver,Midlands,16,65,6,1
M,South East,Silver,S & S East,10,71,5,0
M,South East,Silver,London,.,72,19,0
M,Midlands,Tin,Midlands,10,49,4,0
M,North,Tin,Yorkshire,5,55,10,0
M,Midlands,Tin,Midlands,10,55,10,0
M,South East,Silver,S & S East,2,60,5,0
M,South East,Silver,London,9,58,2,0
M,North,Silver,N West,9,48,3,1
M,Midlands,Silver,East,6,34,2,0
M,North,Silver,N East,5,.,8,0
M,South East,Tin,S & S East,7,49,4,0
M,South East,Tin,London,9,60,5,0
M,South East,Tin,London,6,36,8,1
M,Midlands,Tin,Wales & West,8,46,7,0
M,South East,Gold,S & S East,15,56,6,0
M,North,Tin,N West,8,48,2,0
M,North,Tin,N West,7,39,5,0
M,South East,Tin,S & S East,8,52,8,0
M,Midlands,Silver,Midlands,11,49,2,1
M,North,Silver,N East,7,41,1,1
M,South East,Silver,London,4,61,12,0
M,South East,Platinum,London,9,63,14,0
M,Scottish,Gold,C Scotland,6,76,30,0
M,Midlands,Silver,East,10,44,1,0
M,Midlands,Tin,Wales & West,6,50,10,0
M,North,Silver,N East,12,60,5,0
M,North,Silver,Yorkshire,9,75,20,0
M,North,Silver,Yorkshire,9,52,4,0
M,Midlands,Tin,Midlands,10,39,5,1
M,Midlands,Silver,Wales & West,10,33,10,1
M,South East,Tin,London,9,32,4,1
M,South East,Silver,London,9,50,1,0
M,Midlands,Tin,Midlands,9,34,4,0
M,South West,Silver,S West,8,66,8,0
M,Midlands,Silver,Wales & West,12,66,1,1
M,North,Gold,N West,6,64,1,0
M,Midlands,Gold,Midlands,6,59,5,0
M,South East,Tin,London,6,47,9,0
M,South East,Gold,London,5,48,5,0
M,Scottish,Gold,N Scot,8,58,5,0
M,South East,Gold,London,12,69,8,0
M,South East,Tin,S & S East,7,59,9,0
M,Midlands,Platinum,Midlands,5,76,26,0
M,North,Gold,N East,8,70,2,0
M,Midlands,Silver,Midlands,10,46,4,0
M,Midlands,Silver,Midlands,12,42,1,0
M,South West,Silver,S West,9,46,5,0
M,Midlands,Silver,Midlands,16,56,7,0
M,Midlands,Silver,Midlands,18,49,4,0
M,North,Tin,N West,11,37,5,1
M,Midlands,Silver,Ulster,.,54,1,0
M,South East,Gold,S & S East,8,44,5,0
M,South East,Silver,London,10,.,3,1
M,South East,Silver,London,16,63,11,0
M,Midlands,Tin,Midlands,8,66,8,0
M,South East,Tin,London,6,35,8,0
M,Midlands,Gold,Midlands,6,69,5,0
M,North,Gold,N East,7,69,3,0
M,South East,Tin,London,7,34,5,0
M,North,Silver,Yorkshire,4,40,4,0
M,North,Tin,Yorkshire,13,41,5,0
M,North,Gold,N East,9,65,4,0
M,Midlands,Tin,East,15,.,5,1
M,South East,Gold,S & S East,7,53,6,0
M,South East,Silver,S & S East,13,77,8,1
M,South East,Tin,S & S East,11,48,5,0
M,South East,Gold,S & S East,11,53,3,0
M,Midlands,Gold,Wales & West,13,64,2,0
M,South East,Tin,S & S East,5,56,8,0
M,North,Gold,Yorkshire,8,49,5,0
M,South East,Gold,London,10,41,5,0
M,Midlands,Gold,Midlands,7,76,3,0
M,South East,Silver,London,4,46,5,0
M,South East,Tin,London,3,76,7,0
M,Midlands,Tin,Midlands,10,45,9,0
M,South East,Gold,London,5,58,.,0
M,Scottish,Tin,N Scot,6,50,5,0
M,South East,Gold,S & S East,8,67,3,0
M,North,Platinum,Yorkshire,5,50,3,0
M,South East,Gold,S & S East,8,48,1,0
M,,Gold,,7,.,1,0
M,Midlands,Tin,East,.,50,5,0
M,South East,Silver,London,9,61,12,0
M,South East,Silver,S & S East,7,57,10,0
M,Scottish,Tin,C Scotland,5,66,5,0
M,Midlands,Silver,Wales & West,7,71,6,0
M,South East,Silver,London,10,31,2,1
M,Midlands,Tin,Wales & West,7,56,4,0
M,Midlands,Gold,Midlands,6,39,3,1
M,Midlands,Gold,Wales & West,7,70,8,0
M,Midlands,Silver,East,3,70,2,0
M,South East,Tin,London,9,42,8,1
M,Midlands,Tin,East,6,59,8,0
M,South East,Gold,S & S East,7,58,2,1
M,Midlands,Gold,Wales & West,12,79,4,0
M,South East,Silver,London,9,40,5,0
M,South East,Silver,S & S East,7,66,8,0
M,North,Silver,N West,13,68,9,1
M,South East,Tin,London,9,31,7,0
M,Midlands,Silver,East,7,37,9,0
M,South East,Platinum,London,8,62,13,0
M,Midlands,Tin,East,7,36,4,0
M,Midlands,Silver,Wales & West,5,.,11,0
M,Midlands,Gold,Wales & West,8,65,3,0
M,North,Tin,Yorkshire,10,40,4,1
M,South East,Gold,S & S East,6,66,3,0
M,South East,Silver,London,10,73,2,0
M,Midlands,Gold,Midlands,2,66,31,0
M,North,Silver,N West,6,50,3,0
M,South East,Silver,S & S East,.,31,10,0
M,Midlands,Silver,Midlands,2,48,11,0
M,South East,Tin,S & S East,6,60,8,0
M,South East,Silver,London,11,60,1,0
M,Midlands,Platinum,Midlands,7,61,3,0
M,South West,Silver,S West,4,37,4,0
M,North,Silver,Yorkshire,8,31,1,0
M,Midlands,Tin,East,10,51,5,0
M,Midlands,Tin,Midlands,8,52,5,0
M,North,Platinum,N West,7,60,1,0
M,South West,Gold,S West,9,68,4,0
M,South East,Gold,London,11,68,8,0
M,Midlands,Gold,Wales & West,7,72,7,0
M,Midlands,Tin,Wales & West,9,63,9,0
M,Midlands,Tin,East,10,44,5,0
M,Midlands,Silver,Wales & West,14,44,5,1
M,South East,Tin,S & S East,9,47,5,0
M,Midlands,Tin,Wales & West,12,42,5,1
M,South East,Gold,London,5,57,2,0
M,Midlands,Gold,Wales & West,19,34,2,1
M,Midlands,Gold,East,12,65,5,0
M,Midlands,Silver,Wales & West,4,32,8,1
M,North,Silver,N West,9,.,5,0
M,North,Tin,N West,6,48,4,0
M,Midlands,Tin,Midlands,9,37,4,0
M,South East,Silver,London,.,41,9,0
M,Midlands,Tin,Midlands,6,59,4,0
M,South East,Silver,London,6,34,4,1
M,South East,Tin,London,9,67,8,0
M,North,Tin,N East,5,40,5,0
M,Midlands,Gold,Midlands,9,53,6,0
M,South East,Gold,London,10,48,1,0
M,North,Silver,N West,10,39,5,0
M,Midlands,Silver,Ulster,10,60,8,0
M,Midlands,Tin,Midlands,8,59,5,0
M,South East,Tin,London,6,.,4,0
M,Midlands,Gold,Midlands,12,73,8,0
M,Midlands,Gold,East,3,74,11,0
M,South East,Gold,London,10,47,4,0
M,South East,Gold,S & S East,12,63,17,0
M,South East,Silver,S & S East,14,72,2,0
M,North,Gold,N West,11,62,3,0
M,Midlands,Gold,Midlands,10,.,1,0
M,North,Tin,Yorkshire,11,52,8,0
M,South East,Silver,London,8,63,5,0
M,Midlands,Gold,Midlands,10,56,4,0
M,South East,Silver,London,7,.,4,0
M,Midlands,Platinum,Midlands,10,73,3,0
M,Midlands,Gold,Midlands,7,60,4,0
M,North,Platinum,N West,5,54,11,0
M,Midlands,Tin,Midlands,13,54,8,0
M,North,Silver,N West,6,75,5,1
M,South East,Silver,London,8,71,12,0
M,North,Gold,N West,5,51,8,0
M,North,Silver,N West,8,75,5,0
M,South East,Tin,London,6,45,5,0
M,Midlands,Silver,Midlands,4,60,2,0
M,Midlands,Tin,Wales & West,12,48,5,0
M,South East,Gold,London,10,65,2,0
M,Midlands,Silver,Midlands,.,49,5,0
M,North,Tin,N West,11,45,5,0
M,South East,Silver,London,8,40,5,1
M,South East,Silver,London,8,42,5,0
M,South East,Tin,S & S East,4,57,6,0
M,South East,Silver,London,11,56,12,0
M,Midlands,Silver,East,13,37,8,0
M,South East,Tin,London,3,49,5,0
M,North,Gold,N West,4,50,8,0
M,,Silver,,4,57,8,0
M,South East,Gold,London,7,38,8,1
M,North,Silver,N West,8,60,1,0
M,Midlands,Silver,East,7,60,5,0
M,South East,Gold,London,12,46,8,0
M,Scottish,Silver,C Scotland,12,41,8,0
M,Midlands,Gold,East,5,58,4,0
M,Midlands,Gold,East,7,56,7,0
M,South East,Silver,London,11,44,8,0
M,South East,Tin,London,9,31,5,0
M,South West,Silver,S West,9,75,12,0
M,North,Gold,N East,10,77,5,0
M,South East,Gold,London,5,.,9,0
M,South East,Silver,London,12,57,6,0
M,Midlands,Gold,Midlands,5,65,2,0
M,South East,Tin,London,9,74,9,0
M,Scottish,Silver,C Scotland,10,78,15,1
M,Midlands,Tin,East,14,42,4,1
M,Midlands,Tin,East,8,34,4,0
M,Scottish,Tin,C Scotland,5,59,2,0
M,,Gold,,.,74,1,0
M,Midlands,Gold,Midlands,.,29,4,0
M,South East,Silver,London,.,42,11,0
M,Midlands,Gold,Midlands,8,53,3,0
M,South East,Silver,London,5,30,4,1
M,Midlands,Gold,East,10,32,1,1
M,South East,Tin,London,17,36,6,1
M,South West,Gold,S West,1,.,2,0
M,South East,Gold,London,8,64,5,0
M,Midlands,Silver,East,.,64,2,1
M,Midlands,Silver,Midlands,8,73,15,0
M,North,Tin,N East,5,.,8,1
M,South East,Silver,London,7,62,5,0
M,South East,Silver,London,11,63,1,0
M,,Silver,,10,43,4,1
M,North,Tin,N West,3,49,4,0
M,South East,Platinum,S & S East,7,72,4,0
M,South East,Silver,London,10,53,8,0
M,South East,Tin,S & S East,10,75,9,0
M,North,Silver,N West,.,66,8,0
